time,model,id,channel,battery,temperature_C,humidity
2018-04-20 00:54:56,TFA-Twin-Plus-30.3049,27,1,OK,20.000,99
2018-04-20 00:54:56,TFA-Twin-Plus-30.3049,27,1,OK,20.000,99
2018-04-20 00:54:56,TFA-Twin-Plus-30.3049,27,1,OK,20.000,99
2018-04-20 00:54:56,TFA-Twin-Plus-30.3049,27,1,OK,20.000,99
2018-04-20 00:54:57,TFA-Twin-Plus-30.3049,13,2,OK,18.100,99
2018-04-20 00:54:57,TFA-Twin-Plus-30.3049,13,2,OK,18.100,99
2018-04-20 00:54:57,TFA-Twin-Plus-30.3049,13,2,OK,18.100,99
2018-04-20 00:54:57,TFA-Twin-Plus-30.3049,13,2,OK,18.100,99
2018-04-20 00:55:44,TFA-Twin-Plus-30.3049,27,1,OK,20.000,99
2018-04-20 00:55:44,TFA-Twin-Plus-30.3049,27,1,OK,20.000,99
2018-04-20 00:55:44,TFA-Twin-Plus-30.3049,27,1,OK,20.000,99
2018-04-20 00:55:44,TFA-Twin-Plus-30.3049,27,1,OK,20.000,99
2018-04-20 00:55:47,TFA-Twin-Plus-30.3049,13,2,OK,18.100,99
2018-04-20 00:55:47,TFA-Twin-Plus-30.3049,13,2,OK,18.100,99
2018-04-20 00:55:47,TFA-Twin-Plus-30.3049,13,2,OK,18.100,99
2018-04-20 00:55:47,TFA-Twin-Plus-30.3049,13,2,OK,18.100,99
2018-04-20 00:56:16,TFA-Twin-Plus-30.3049,27,1,OK,19.900,99
2018-04-20 00:56:16,TFA-Twin-Plus-30.3049,27,1,OK,19.900,99
2018-04-20 00:56:16,TFA-Twin-Plus-30.3049,27,1,OK,19.900,99
2018-04-20 00:56:16,TFA-Twin-Plus-30.3049,27,1,OK,19.900,99
2018-04-20 00:56:20,TFA-Twin-Plus-30.3049,13,2,OK,18.100,99
2018-04-20 00:56:20,TFA-Twin-Plus-30.3049,13,2,OK,18.100,99
2018-04-20 00:56:20,TFA-Twin-Plus-30.3049,13,2,OK,18.100,99
2018-04-20 00:56:20,TFA-Twin-Plus-30.3049,13,2,OK,18.100,99
2018-04-20 00:56:48,TFA-Twin-Plus-30.3049,27,1,OK,20.000,99
2018-04-20 00:56:48,TFA-Twin-Plus-30.3049,27,1,OK,20.000,99
2018-04-20 00:56:48,TFA-Twin-Plus-30.3049,27,1,OK,20.000,99
2018-04-20 00:56:48,TFA-Twin-Plus-30.3049,27,1,OK,20.000,99
2018-04-20 00:56:53,TFA-Twin-Plus-30.3049,13,2,OK,18.100,99
2018-04-20 00:56:53,TFA-Twin-Plus-30.3049,13,2,OK,18.100,99
2018-04-20 00:56:53,TFA-Twin-Plus-30.3049,13,2,OK,18.100,99
2018-04-20 00:56:53,TFA-Twin-Plus-30.3049,13,2,OK,18.100,99
2018-04-20 00:57:20,TFA-Twin-Plus-30.3049,27,1,OK,19.900,99
2018-04-20 00:57:20,TFA-Twin-Plus-30.3049,27,1,OK,19.900,99
2018-04-20 00:57:20,TFA-Twin-Plus-30.3049,27,1,OK,19.900,99
2018-04-20 00:57:20,TFA-Twin-Plus-30.3049,27,1,OK,19.900,99
2018-04-20 00:57:26,TFA-Twin-Plus-30.3049,13,2,OK,18.100,99
2018-04-20 00:57:26,TFA-Twin-Plus-30.3049,13,2,OK,18.100,99
2018-04-20 00:57:26,TFA-Twin-Plus-30.3049,13,2,OK,18.100,99
2018-04-20 00:57:26,TFA-Twin-Plus-30.3049,13,2,OK,18.100,99
2018-04-20 00:57:52,TFA-Twin-Plus-30.3049,27,1,OK,20.000,99
2018-04-20 00:57:52,TFA-Twin-Plus-30.3049,27,1,OK,20.000,99
2018-04-20 00:57:52,TFA-Twin-Plus-30.3049,27,1,OK,20.000,99
2018-04-20 00:57:52,TFA-Twin-Plus-30.3049,27,1,OK,20.000,99
2018-04-20 00:57:59,TFA-Twin-Plus-30.3049,13,2,OK,18.100,99
2018-04-20 00:57:59,TFA-Twin-Plus-30.3049,13,2,OK,18.100,99
2018-04-20 00:57:59,TFA-Twin-Plus-30.3049,13,2,OK,18.100,99
2018-04-20 00:57:59,TFA-Twin-Plus-30.3049,13,2,OK,18.100,99
